Group	_min1	_min1	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	_min1	_min1	_min1	_min1	_min1	7_13	7_13	_min1	7_13	_min1	_min1	_min1	_min1	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	_min1	7_13	_min1	7_13	_min1	7_13	7_13	7_13	_min1	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1	7_13	_min1	7_13	_min1	_min1	7_13	_min1
ID	R009W00	R010W00	R010W02	R014W01	R014W02	R016W00	R021W01	R022W00	R028W01	R044W01	R044W03	R057W00	R058W00	R007W01	R024W00	R025W01	R028W03	R029W02	R031W00	R031W02	R039W00	R002W00	R003W00	R006W00	R020W00	R036W00	R057W02	R063W01	R063W03	R066W00	R066W03	R067W00	R069W00	R069W02	R071W00	R071W02	R073W00	R077W00	R077W02	R081W00	R082W01	R082W02	R084W00	R086W00	R086W02	R087W01	R087W03	R089W00	R089W02	R092W00	R096W03	R103W02	R116W00	R116W03	R120W01	R120W03	R121W00	R121W02	R125W02	R129W03	R130W00	R134W00	R134W02	R135W00	R139W00	R139W02	R148W01	R148W03	R151W01	R151W03	R156W01	R156W03	R157W01	R157W02	R159W01	R159W03	R161W00	R161W03	R165W01	R169W00	R169W03	R171W01	R171W02	R174W01	R174W03	R179W01	R187W00	R198W03	R206W00
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia	0	0	0	0	0	10	3	1128	163	143	240	45	97	5	4275	0	0	23	93	303	33	0	0	0	20	7	211	45	1337	5	0	0	61	0	35	0	0	19	0	0	0	536	60	40	86	5	0	0	0	0	5020	0	13	272	0	389	0	0	0	0	9	7	9	26	2	14	8	699	0	0	15	1065	94	5	0	0	0	0	49	0	57	0	55	122	429	0	0	295	28
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella	0	1660	0	4241	94	815	1044	828	263	5629	1149	36	735	1285	2342	238	0	270	839	1620	667	670	0	369	110	109	57	636	210	698	0	555	505	0	898	498	395	177	362	309	223	4120	1839	251	48	890	176	166	121	409	6916	0	463	0	126	0	4971	0	86	20	392	488	285	1650	87	206	232	20	12	0	451	7541	2945	708	32	0	59	0	491	257	344	839	238	1567	235	115	223	214	1050
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	0	0	7817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	8235	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	483	219	132	0	3	0	0	3	1296	0	0	0	12	0	0	0	904	583	21	0	36	23	0	250	566	371	231	0	0	0	0	2	0	19	66	0	0	0	13	843	57	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	264	0	93	78	0	9	0	43	61	9	0	4	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	2	0	0	0	0	3338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus	1871	12	1	0	0	0	0	35	0	2	0	0	0	0	0	0	2	0	1298	0	2	330	6	0	0	7	0	0	0	0	572	0	0	0	0	0	0	0	4	4	0	2	9	23	0	2	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	33	14	0	0	0	0	0	30	0	0	0	0	0	24	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	4032	5176	154	3514	1717	3841	3155	2960	2668	14216	8252	1673	8567	5599	92	3950	91	14943	4130	13221	11448	9782	65	5226	3565	6232	14000	5303	3124	1963	702	5766	9921	5971	9168	7141	3314	3401	11033	7415	2797	13	8006	4238	4811	3400	5906	2238	1059	4086	12741	21218	4052	0	4289	0	23734	3490	0	1945	3369	7948	2955	6410	504	761	6824	4905	12	83	9713	94	8286	5559	2289	0	358	2331	1642	1721	3104	1095	374	2186	888	2700	1374	0	2567
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Unclassified_member_of_Clostridiales	0	0	2	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|Unclassified_member_of_Clostridiales	0	0	6	0	7	0	0	0	0	310	28	0	11	108	0	5	0	0	44	0	0	2	0	2	0	0	0	16	50	61	0	35	0	0	4	0	152	15	36	168	74	0	22	0	0	9	9	357	149	29	0	0	50	0	0	0	20	0	0	63	0	19	0	0	0	0	0	2	0	0	107	0	0	0	0	0	0	0	4	0	5	0	0	51	0	97	144	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter_Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	11	0	0	0	4	0	0	0	0	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0
