exp #,mouse name,treatment,tumor load,%MDSC (GR1) blood,% G-MDSC blood (total),% G-MDSC blood (gated on CD11b),% M-MDSC blood (total),% M-MDSC blood (gated on CD11b),% T cell blood (total),MFI zeta blood,spleen weight,cell # spleen,%MDSC (GR1) spleen,% G-MDSC spleen (total),% G-MDSC spleen (gated on CD11b),% M-MDSC spleen (total),% M-MDSC spleen (gated on CD11b),% T cell spleen(total),MFI zeta spleen,cell # BM,%MDSC (GR1) bm,% G-MDSC BM (total),% G-MDSC BM (gated on CD11b),% M-MDSC BM (total),% M-MDSC BM (gated on CD11b),% T cell BM (total),MFI zeta BM,%MDSC (GR1) colon,% G-MDSC colon  (total),% G-MDSC colon  (gated on CD11b),% M-MDSC colon (total),% M-MDSC colon (gated on CD11b),% T cell colon  (total),MFI zeta colon,FITC DEX
exp3,4.4,WT CRC ABX,++,6.8,,43.07,,22.4,30.29,167.27,0.17,102,3.7,7.27,34.36,1.41,20.17,21.06,162.22,11.7,62.02,,70.08,,17.94,2.93,30.18,1.44,,,,,,,1153.3
exp3,3.1,WT CRC ABX,+,15.06,,41.53,,17.42,33.06,162.5,0.31,215,8.08,7.96,33.77,2.25,22.02,16.23,150.29,15.45,61.46,,,,,3.16,35.95,,,,,,,,1086.6
exp14,1.1,normal,,18.12,8.15,62.98,1.24,9.55,33.4,206.21,0.15,78,2.37,1.47,27.15,0.28,4.87,33.73,99.72,11,53.79,39.84,70.06,7.76,13.64,3.19,94.68,,,,,,,,4009
exp14,1.2,normal,,8.94,5.47,61.61,0.41,4.68,44.43,147.26,0.12,64,3.53,2.34,31.9,0.66,8.62,32.24,221.65,10.2,48.66,36.09,71.8,7.57,15.07,4.3,116.91,,,,,,,,4434
exp14,1.3,normal,,18.84,12.47,65.45,1.7,8.91,47.39,223.22,0.1,67,2.27,1.52,26.99,0.41,7.02,30.92,142.49,9.6,45.32,35.67,73.54,7.03,14.5,4.04,96.58,,,,,,,,4453
exp14,1.5,normal,,8.64,4.08,45.83,0.37,4.17,41.21,134.87,0.06,,,,,,,,,,,,,,,,,,3.47,27.48,3.16,11.91,78.98,11813.65,
exp14,1.6,normal,,9.74,4.32,58.5,0.6,8.09,41.47,163.92,0.06,,,,,,,,,,,,,,,,,,1.87,12.75,2.13,9.92,83.82,9892.84,
exp14,2.1,normal,,15.23,6.61,62.29,0.81,7.64,39.25,138.04,0.16,67,2.27,1.99,36.74,0.43,7.77,28.46,150.84,8.2,50.25,37.07,75.88,6.69,13.69,4.34,78.51,,,,,,,,7424
exp14,2.2,normal,,17.31,3.37,52.24,0.63,9.7,45.57,183.87,0.12,62,1.93,1.73,25.68,0.32,4.63,36.15,279.55,9.4,46.93,27.64,51.91,9.45,17.75,5.8,111.26,,,,,,,,6764
exp14,2.3,normal,,13.7,8.36,48.59,0.87,5.08,36.18,129.8,0.08,53,2.06,1.91,32.1,0.34,5.47,29.31,181.76,12,56.21,42.14,74.34,8.84,15.59,3.04,94.88,,,,,,,,3677
exp14,2.5,normal,,15.81,9.62,58.76,1.09,6.68,42.85,151.44,0.06,,,,,,,,,,,,,,,,,,1.97,18.18,1.47,1.52,85.46,10264.55,
exp14,2.6,normal,,16.92,7.96,59.06,0.8,5.97,43.65,176.79,0.05,,,,,,,,,,,,,,,,,,8.93,40.57,2.05,9.13,84.63,12892.36,
exp14,3.1,CRC,++++,42.54,29.08,72.27,2.9,7.2,30.34,215.03,0.24,105,19.94,14.6,57.3,4.56,16.19,10.28,147.96,14.4,80.14,57.7,71.09,13.86,17.07,1.21,72.94,,,,,,,,5211
