Time Point,X,y
1,"[-0.10647047 -0.10647047 -0.10647047  0.22608224 -0.2405236  -0.53098391
 -0.77995224  0.17188206 -0.07583902 -0.38124456  2.05637448 -0.61670428
 -0.61670428  2.05635953  1.12888688  1.70254772  0.34756149  0.34756149
 -0.02529393 -0.30065697  1.69899867  0.76479937 -0.09535382 -0.31785192
  0.10416742 -1.90094889  0.10416742  1.2617697   1.23387256  0.8393065
  0.60818652  0.41919932 -0.96453287 -0.96453287 -0.13854152 -0.27102358
 -0.82877701 -1.90094889 -1.90094889 -1.90094889]",[0.10784624974850818]
1,"[-0.23166498 -0.23166498 -0.23166498  0.74652981  0.56351546  0.26795898
 -2.4506391   0.47650282  0.28974057 -1.04652997  2.28021818 -0.57885378
 -0.57885378  2.28017401  1.18293991  1.58713582  0.15915747  0.15915747
  0.0157951  -0.31028129  1.57029697  0.46511652 -0.4936897  -0.75065432
  0.45191451 -0.39366581  0.41471968  0.93353595  0.79589079  0.3290852
  0.57976474  0.35617969 -0.99541877 -0.99541877 -0.52511148 -0.87788201
 -0.73977289 -1.46846465 -1.46846465 -1.53663377]",[-0.05700907953581069]
1,"[-0.38544791 -0.38544791 -0.38544791  0.27765751  0.19155578 -0.15841692
 -2.00022708 -0.33162711 -0.75164829 -0.97401961  2.32736813 -1.03947773
 -1.03947773  2.32731049  1.03061322  2.03171891  0.41523792  0.41523792
  0.73339531  0.34785157  2.01173156  0.70562659 -0.46072942 -0.76949668
 -0.33162711 -0.69297643 -0.66828528  0.4828614  -0.04639151 -0.5968705
  0.33377449  0.06965148 -1.33255603 -1.33255603 -0.55462722 -0.84531018
 -1.01132841  0.82582382  0.82582382  0.74075307]",[0.19507781195605184]
1,"[-0.04891983 -0.04891983 -0.04891983 -0.02696678 -0.28331445 -0.55356088
 -2.18624717 -0.18967629 -1.62557577 -0.43138026  2.05185057 -0.41417139
 -0.41417139  2.05178288  1.05035691  1.80212573  0.41423409  0.41423409
  0.10181571 -0.1958163   1.79696464  0.78827347  0.24842039  0.00974966
 -0.70899165 -0.82740084 -2.18624717  1.25022667  1.19305757  0.76700786
  0.71240744  0.50825921 -0.61048057 -0.61048057 -0.01014811 -0.23930856
 -0.35005072 -1.02858578 -1.02858578 -1.09284696]",[0.22965432396121732]
1,"[ 0.30894647  0.30894647  0.30894647  0.97404929  0.9242218   0.52898683
  0.15196215  0.19150147 -0.07717014 -0.83707615  2.57663968 -0.49484582
 -0.49484582  2.57653491  1.29983947  1.47660647 -0.0901447  -0.0901447
 -0.21637183 -0.59758534  1.46566698  0.17977584 -0.8749765  -1.18124814
 -1.47317388 -1.80623949 -1.66004671  0.80521526  0.22567976 -0.31758741
  0.2366723  -0.02324254 -1.09144887 -1.09144887  0.58747367  0.42916222
 -0.95836386 -0.69911321 -0.69911321 -0.78264031]",[0.36051449787402656]
1,"[-0.26129109 -0.26129109 -0.26129109  1.17098069  1.15648385  0.88261856
 -2.39999312  0.25930354 -0.98102169  0.00889382  1.93332122 -0.40538718
 -0.40538718  1.93320185  0.91661243  1.46400993  0.31440409  0.31440409
  0.31440409  0.01235741  1.45012583  0.42618715 -0.36980496 -0.61093147
 -0.81486932 -0.93531764 -2.39999312  1.09938123  1.05604529  0.62357974
  0.45627169  0.2491156  -0.69417449 -0.69417449 -0.13098522 -0.26757885
 -1.02056322 -1.02056322 -1.02056322 -1.08652047]",[-0.3890127023982767]
1,"[ 0.01778882  0.01778882  0.01778882  0.93361197  0.87615362  0.63071679
 -0.66488337  0.49538779  0.20480903  0.04176138  1.9603038  -0.95378298
 -0.95378298  1.96030025  1.05234852  1.43431987  0.31770793  0.31770793
  0.74008991  0.47006176  1.40767978  0.49315962  0.03914317 -0.17792834
 -0.95378298 -1.05878659 -1.94512577  0.9174112  -0.40443221 -0.78799989
  0.91056073  0.72553024 -0.42160541 -0.42160541 -0.27007005 -0.80719795
 -0.32577049 -1.94512577 -1.94512577 -1.94512577]",[-0.34548062552774617]
1,"[ 0.09626405  0.09626405  0.09626405  0.34564391 -0.85253906 -1.08115965
 -1.92165691  0.34237253  0.06889577 -0.15637275  2.01110614 -0.32802796
 -0.32802796  2.01105492  1.08622601  1.74904384  0.38940223  0.38940223
  0.00871438 -0.26596127  1.74624339  0.8147086   0.03846137 -0.18179032
 -1.92165691 -1.92165691 -1.92165691  0.67173657  0.37577815 -0.01747004
  0.54114997  0.35270534 -0.64107041 -0.64107041 -0.22590164 -0.33588728
 -1.92165691  0.49759743  0.49759743  0.4369309 ]",[-0.3574885479427626]
1,"[-0.28602098 -0.28602098 -0.28602098  0.45558006  0.4087796   0.09892537
 -1.10988733 -0.22509518 -0.76773248 -0.63568685  2.34039371 -0.49378653
 -0.49378653  2.34032393  1.20266825  1.34284466  0.1230692   0.1230692
 -0.49378653 -0.8261545   1.33063822  0.1849064  -0.42323081 -0.69118069
 -1.20473994 -1.68917465 -1.33763274  1.04653002  0.65165956  0.16775139
 -0.04225186 -0.27350803 -1.561422   -1.561422    0.9044651   0.76864649
 -1.561422    0.94478303  0.94478303  0.87014635]",[-0.030391147247709027]
1,"[ 0.06119646  0.06119646  0.06119646  0.52466553  0.37849353  0.14444832
 -1.08100507  0.3133647   0.07753914 -0.19420286  2.01448518 -0.23738305
 -0.23738305  2.01444813  1.1473802   1.65570476  0.39953221  0.39953221
  0.09553296 -0.16195439  1.65311378  0.7797692  -0.20557472 -0.41324232
 -1.08100507 -1.17303862 -1.69230329  1.21767784  1.19816402  0.82933192
  0.55058149  0.37391517 -0.74559806 -0.74559806 -0.81687295 -1.17303862
 -0.91615965 -1.69230329 -1.69230329 -1.69230329]",[0.19950952334150251]
