,0
"Lr=0.003,latent_size=110,klb_coefficient=0.6",0.023823595
"Lr=0.003,latent_size=110,klb_coefficient=0.7",0.023953477
"Lr=0.003,latent_size=110,klb_coefficient=0.8",0.024037797
"Lr=0.003,latent_size=110,klb_coefficient=0.9",0.024290774
"Lr=0.003,latent_size=110,klb_coefficient=1.0",0.023939852
"Lr=0.003,latent_size=120,klb_coefficient=0.5",0.024250777
"Lr=0.003,latent_size=120,klb_coefficient=0.6",0.024581328
"Lr=0.003,latent_size=120,klb_coefficient=0.7",0.02402699
"Lr=0.003,latent_size=120,klb_coefficient=0.8",0.024168264
"Lr=0.003,latent_size=120,klb_coefficient=0.9",0.024426818
"Lr=0.003,latent_size=120,klb_coefficient=1.0",0.024121651
"Lr=0.003,latent_size=130,klb_coefficient=0.5",0.024166796
"Lr=0.003,latent_size=130,klb_coefficient=0.6",0.024447612
"Lr=0.003,latent_size=130,klb_coefficient=0.7",0.024020977
"Lr=0.003,latent_size=130,klb_coefficient=0.8",0.024125263
"Lr=0.003,latent_size=130,klb_coefficient=0.9",0.024033755
"Lr=0.003,latent_size=130,klb_coefficient=1.0",0.024266807
"Lr=0.003,latent_size=140,klb_coefficient=0.5",0.024197524
"Lr=0.003,latent_size=140,klb_coefficient=0.6",0.024361894
"Lr=0.003,latent_size=140,klb_coefficient=0.7",0.02450345
"Lr=0.003,latent_size=140,klb_coefficient=0.8",0.024284387
"Lr=0.003,latent_size=140,klb_coefficient=0.9",0.024436709
"Lr=0.003,latent_size=140,klb_coefficient=1.0",0.024418896
"Lr=0.003,latent_size=150,klb_coefficient=0.5",0.024498032
"Lr=0.003,latent_size=150,klb_coefficient=0.6",0.024386067
"Lr=0.003,latent_size=150,klb_coefficient=0.7",0.024253441
"Lr=0.003,latent_size=150,klb_coefficient=0.8",0.024299564
"Lr=0.003,latent_size=150,klb_coefficient=0.9",0.024434261
"Lr=0.003,latent_size=150,klb_coefficient=1.0",0.024128405
"Lr=0.004,latent_size=10,klb_coefficient=0.5",0.023393217
"Lr=0.004,latent_size=10,klb_coefficient=0.6",0.02343293
"Lr=0.004,latent_size=10,klb_coefficient=0.7",0.023396987
"Lr=0.004,latent_size=10,klb_coefficient=0.8",0.023395075
"Lr=0.004,latent_size=10,klb_coefficient=0.9",0.023395916
"Lr=0.004,latent_size=10,klb_coefficient=1.0",0.023469547
"Lr=0.004,latent_size=20,klb_coefficient=0.5",0.02342363
"Lr=0.004,latent_size=20,klb_coefficient=0.6",0.02341009
"Lr=0.004,latent_size=20,klb_coefficient=0.7",0.023401495
"Lr=0.004,latent_size=20,klb_coefficient=0.8",0.023484215
"Lr=0.004,latent_size=20,klb_coefficient=0.9",0.023435166
"Lr=0.004,latent_size=20,klb_coefficient=1.0",0.023483505
"Lr=0.004,latent_size=30,klb_coefficient=0.5",0.02358699
"Lr=0.004,latent_size=30,klb_coefficient=0.6",0.02361312
"Lr=0.004,latent_size=30,klb_coefficient=0.7",0.023479199
"Lr=0.004,latent_size=30,klb_coefficient=0.8",0.023568843
"Lr=0.004,latent_size=30,klb_coefficient=0.9",0.023604985
"Lr=0.004,latent_size=30,klb_coefficient=1.0",0.023603361
"Lr=0.004,latent_size=40,klb_coefficient=0.5",0.023538124
"Lr=0.004,latent_size=40,klb_coefficient=0.6",0.023617048
"Lr=0.004,latent_size=40,klb_coefficient=0.7",0.02348965
"Lr=0.004,latent_size=40,klb_coefficient=0.8",0.023672795
"Lr=0.004,latent_size=40,klb_coefficient=0.9",0.023628801
"Lr=0.004,latent_size=40,klb_coefficient=1.0",0.02362496
"Lr=0.004,latent_size=50,klb_coefficient=0.5",0.023759905
"Lr=0.004,latent_size=50,klb_coefficient=0.6",0.02360146
"Lr=0.004,latent_size=50,klb_coefficient=0.7",0.023762347
"Lr=0.004,latent_size=50,klb_coefficient=0.8",0.024022404
"Lr=0.004,latent_size=50,klb_coefficient=0.9",0.02353434
"Lr=0.004,latent_size=50,klb_coefficient=1.0",0.023739764
"Lr=0.004,latent_size=60,klb_coefficient=0.5",0.023827814
"Lr=0.004,latent_size=60,klb_coefficient=0.6",0.023651317
"Lr=0.004,latent_size=60,klb_coefficient=0.7",0.024093218
"Lr=0.004,latent_size=60,klb_coefficient=0.8",0.023646314
"Lr=0.004,latent_size=60,klb_coefficient=0.9",0.024123052
"Lr=0.004,latent_size=60,klb_coefficient=1.0",0.023783427
"Lr=0.004,latent_size=70,klb_coefficient=0.5",0.023828099
"Lr=0.004,latent_size=70,klb_coefficient=0.6",0.023949707
